pubDate,firstAuthor,genus,species,experiment,totalMonths,censusNumber,repNumber,seedNumber,germination,survival,isEstimationDiscrete,noteContinuousParameter,isMortalityGerminationSeparateInModel,notesOnEstimation,observationType,parameter,notes,doi
1992,Kalisz,Collinsia,verna,seed bag burial,36,2,18,125,age,age,yes,NA,yes,,"germinated in field, germination experiment, viability test","seed survival in seed bank, germination",,10.2307/1940182
1994,Bullock,Cirsium,vulgare,seed addition,4,1,32,100,constant,constant,yes,NA,yes,,"soil seed bank, emergence","seed survival in seed bank, germination",,10.2307/2261390
1995,Lonsdale,Calligrapha,pantherina,seed bag burial,6,1,10,100,constant,constant,yes,NA,yes,,germination,seed survival in seed bank,,10.2307/2405105
1995,Jarry,Sesbania,vesicaria,seed bag burial,6,1,NA,NA,constant,constant,yes,NA,yes,,intact,seed survival in seed bank,,10.1007/BF00709433
1995,Wardle,Campanula,americana,seed addition,24,NA,20,200,constant,constant,yes,NA,yes,mortality not estimated,germination,germination,,NA
1995,Horvitz,Calathea,ovandensis,seed bag burial,24,2,50,5,constant,constant,yes,NA,yes,,"germinated in bag, viability test","germination, seed survival",,10.2307/2937136
1997,Zippin,Streptanthus,bracteatus,seed bag burial,32,5,10,100,constant,constant,yes,NA,yes,,"germinated in bag, germination experiment, viability test",seed survival in seed bank,,NA
1998,Bernal,Phytelephas,seemannii,seed addition,NA,NA,NA,NA,constant,constant,yes,NA,NA,,"emergence, seeds intact","seed survival in seed bank, germination",,10.1046/j.1365-2664.1998.00280.x
2000,Silva,Espeletia,timotensis,seed bag burial,12,6,5,100,constant,constant,yes,NA,yes,mortality not estimated,"germinated in bag, dead/decomposing, viability test","seed survival in seed bank, germination",,10.1046/j.1365-2699.2000.00187.x
2000,Parker,Cytisus,scoparius,seed bag burial,24,2,8,50,constant,constant,yes,NA,yes,,"viability test, dead",seed survival in seed bank,,10.1890/1051-0761(2000)010[0726:IDOCSA]2.0.CO;2
2002,Pico,Lobularia,maritima,seed addition,1,1,16,20,constant,constant,yes,NA,yes,,ant predation,seed survival,,10.1890/0012-9658(2002)083[1991:AEFAFS]2.0.CO;2
